DOB,AGE,INSTAGRAM [SPENT TIME(IN HOURS)],WHATS APP [SPENT TIME(IN HOURS)],LinkedIn [SPENT TIME(IN HOURS)],FACEBOOK [SPENT TIME(IN HOURS)],SNAPCHAT [SPENT TIME(IN HOURS)],TWITTER [SPENT TIME(IN HOURS)],SLEEP DURATION,SCREEN TIME
28-06-2000,23,3,1,1,1,1,2,7,2
28-04-2004,20,4,3,3,0,2,2,8,4
15-12-2004,19,2,1,1,0,3,1,8,3
31-12-2004,19,3,1,1,2,2,4,5,3
15-07-2005,18,2,2,2,2,2,1,7,2
10-10-2005,18,1,2,2,1,1,3,7,4
17-12-1998,25,3,1,3,3,3,1,7,4
25-10-2004,19,2,2,2,2,2,1,5,3
03-12-2000,23,3,2,2,2,2,2,7,4
25-12-2002,21,4,3,3,0,3,2,7,3
29-08-2003,20,2,2,2,2,2,1,7,2
12-11-2002,21,3,2,2,1,2,0,7,4
08-07-2002,21,1,1,1,1,1,0,7,1
02-11-1979,44,2,2,2,2,2,0,7,4
12-08-2004,19,3,3,3,3,3,1,7,4
05-11-2004,19,3,3,1,3,3,1,8,4
11-05-2004,19,4,4,3,4,4,2,5,4
01-07-1983,40,3,3,1,3,3,2,7,2
22-06-1999,24,2,2,1,2,2,1,8,4
09-12-1967,56,4,2,2,2,4,0,8,4
01-01-1991,33,2,2,2,0,2,0,7,4
06-01-2004,20,3,3,3,2,3,0,7,4
08-06-2002,21,3,2,3,1,3,2,7,4
16-12-2003,20,4,2,4,1,4,2,7,4
31-05-2005,18,3,3,3,2,3,1,7,4
27-12-2003,20,3,3,3,3,3,4,8,3
06-10-2004,19,2,2,2,2,2,1,8,3
12-11-2005,18,2,2,2,2,2,1,7,2
19-01-2005,19,3,4,4,4,4,0,5,4
16-08-2005,18,4,3,3,3,3,0,7,3
16-01-2005,19,2,2,2,2,2,2,7,3
09-09-2000,23,3,3,3,2,3,2,7,3
04-07-2005,18,2,3,3,0,3,1,7,2
04-07-2002,21,1,3,3,2,3,3,7,3
15-02-2005,19,3,3,3,1,3,2,7,3
10-10-2005,18,2,2,1,1,2,2,7,4
03-04-2005,19,3,3,3,2,3,0,8,3
22-10-2003,20,4,3,1,3,3,2,7,4
27-11-2003,20,2,2,1,2,2,1,7,4
10-10-2005,18,3,2,2,3,3,1,7,4
10-10-2000,23,1,2,2,3,3,2,7,4
23-10-2002,21,2,3,0,2,2,3,7,2
15-08-2004,19,3,3,0,3,3,0,7,3
19-08-2006,17,3,1,1,1,1,0,7,3
23-09-2006,17,4,3,3,3,3,0,8,3
15-01-2002,22,3,3,4,3,3,1,7,4
08-12-2001,22,2,4,2,4,4,1,7,4
04-07-2004,19,4,4,3,4,4,2,7,4
05-07-2023,17,2,1,1,3,2,2,7,3
06-07-2023,22,3,1,4,4,4,1,7,4
07-07-2023,21,3,1,2,2,2,0,7,3
08-07-2023,16,4,2,1,2,2,0,8,3
09-07-2023,18,3,4,3,1,4,0,9,4
10-07-2023,21,3,3,3,4,3,2,7,4
11-07-2023,17,3,3,2,3,3,2,7,4
12-07-2023,16,2,2,2,2,2,1,7,4
13-07-2023,21,3,3,3,3,3,4,8,3
14-07-2023,16,2,2,4,2,2,1,7,3
15-07-2023,22,4,4,2,4,4,1,5,4
16-07-2023,17,4,4,1,4,4,0,7,4
17-07-2023,18,4,4,3,4,4,0,8,4
18-07-2023,19,4,4,1,4,4,2,8,4
19-07-2023,16,3,3,1,2,3,2,7,4
20-07-2023,20,2,2,2,2,2,1,7,4
21-07-2023,22,2,2,2,1,2,2,7,2
22-07-2023,20,2,2,4,4,2,2,7,4
23-07-2023,22,4,4,3,4,4,0,7,4
24-07-2023,26,3,3,2,3,3,2,7,3
25-07-2023,21,4,4,4,4,4,1,7,4
26-07-2023,21,2,2,2,2,2,1,7,4
27-07-2023,21,3,3,3,3,3,2,7,4
28-07-2023,22,3,3,3,3,3,3,8,4
29-07-2023,56,3,3,1,3,3,0,7,4
30-07-2023,21,2,2,3,2,2,0,7,2
31-07-2023,22,4,4,1,4,4,0,7,3
01-08-2023,51,2,2,1,2,2,1,7,2
02-08-2023,22,1,1,2,1,1,1,7,1
03-08-2023,28,2,2,2,2,2,2,7,3
04-08-2023,25,1,1,1,1,1,2,7,2
05-08-2023,27,4,4,4,4,4,1,8,4
06-08-2023,26,3,3,3,3,3,0,7,3
07-08-2023,50,2,2,2,2,2,0,7,2
08-08-2023,22,2,2,2,2,2,0,7,2
09-08-2023,23,3,3,3,3,3,0,7,4
10-08-2023,19,2,2,2,2,2,1,7,3
11-08-2023,21,3,3,3,3,3,1,8,2
12-08-2023,29,2,2,2,2,2,2,7,2
13-08-2023,20,4,4,4,4,4,2,7,4
14-08-2023,53,3,3,3,3,3,1,5,3
15-08-2023,27,4,4,1,4,4,0,7,2
16-08-2023,36,4,4,3,4,4,2,7,4
17-08-2023,13,2,2,1,2,2,0,7,2
18-08-2023,20,3,3,1,3,3,0,5,4
19-08-2023,19,3,3,2,3,3,1,7,4
20-08-2023,20,3,3,2,3,3,3,7,3
21-08-2023,19,1,1,1,1,1,4,7,3
22-08-2023,23,1,1,1,1,1,2,7,1
23-08-2023,23,2,2,2,2,2,3,7,3
24-08-2023,28,4,4,4,4,4,1,7,4
25-08-2023,56,3,3,3,3,3,4,7,2
26-08-2023,30,3,3,3,3,3,2,7,3
27-08-2023,22,4,4,4,4,4,2,8,4
28-08-2023,22,3,3,3,3,3,2,7,4
29-08-2023,19,1,1,1,1,1,1,7,2
30-08-2023,39,1,1,1,1,1,0,7,2
31-08-2023,39,1,1,1,1,1,2,7,2
01-09-2023,21,3,3,3,3,3,0,7,3
02-09-2023,38,2,2,2,2,2,0,7,2
03-09-2023,19,3,3,3,3,3,1,7,3
04-09-2023,21,4,4,4,4,4,3,7,4
05-09-2023,22,3,3,3,3,3,4,7,3
06-09-2023,18,2,2,2,2,2,2,7,3
07-09-2023,27,4,4,4,4,4,3,7,4
08-09-2023,21,2,2,1,2,2,1,7,4
09-09-2023,23,3,3,3,3,3,4,7,4
10-09-2023,27,2,2,1,2,2,2,7,3
11-09-2023,18,3,3,1,3,3,2,7,3
12-09-2023,18,2,2,2,2,2,2,7,2
13-09-2023,18,2,2,2,2,2,2,7,2
14-09-2023,18,3,3,3,3,3,2,7,3
15-09-2023,24,3,3,3,3,3,1,7,3
16-09-2023,23,3,3,3,3,3,4,7,4
17-09-2023,22,1,1,1,1,1,1,7,1
18-09-2023,21,4,4,4,4,4,1,7,4
19-09-2023,25,3,3,3,3,3,0,7,2
20-09-2023,23,3,3,3,3,3,0,7,3
21-09-2023,23,3,3,3,3,3,2,7,2
22-09-2023,23,2,2,2,2,2,2,7,3
23-09-2023,21,2,2,2,2,2,1,7,3
24-09-2023,25,4,4,4,4,4,2,7,4
25-09-2023,23,4,4,4,4,4,2,7,4
26-09-2023,24,2,2,2,2,2,0,7,2
27-09-2023,23,2,2,2,2,2,2,7,3
28-09-2023,25,4,4,4,4,4,1,10,4
29-09-2023,51,2,2,2,2,2,1,7,2
30-09-2023,22,1,1,1,1,1,2,7,2
01-10-2023,32,3,3,3,3,3,3,8,2
02-10-2023,24,4,4,4,4,4,2,5,3
03-10-2023,24,2,2,2,2,2,1,7,2
04-10-2023,24,2,2,2,2,2,1,7,2
05-10-2023,23,4,4,4,4,4,3,7,4
06-10-2023,16,3,3,3,3,3,3,7,3
07-10-2023,18,2,2,2,2,2,2,8,2
08-10-2023,48,4,4,4,4,4,2,7,2
09-10-2023,25,3,3,3,3,3,3,7,2
10-10-2023,21,3,3,3,3,3,4,5,4
11-10-2023,17,2,2,2,2,2,2,8,4
12-10-2023,16,3,3,3,3,3,2,7,3
13-10-2023,18,3,3,3,3,3,2,8,3
14-10-2023,22,3,3,3,3,3,2,7,3
15-10-2023,24,3,3,3,3,3,1,7,4
16-10-2023,20,4,4,4,4,4,0,7,4
17-10-2023,19,1,1,1,1,1,2,7,2
18-10-2023,23,3,3,3,3,3,0,10,4
19-10-2023,19,2,2,2,2,2,0,7,4
20-10-2023,21,2,2,2,2,2,1,7,3
21-10-2023,22,2,2,2,2,2,3,7,1
22-10-2023,18,2,2,2,2,2,4,7,2
23-10-2023,17,1,1,1,1,1,2,5,2
24-10-2023,20,1,1,1,1,1,3,10,4
25-10-2023,20,3,3,3,3,3,1,7,3
26-10-2023,20,3,3,3,3,3,4,8,4
27-10-2023,20,2,2,2,2,2,2,7,3
28-10-2023,21,2,2,2,2,2,1,7,2
29-10-2023,20,3,3,3,3,3,3,7,4
30-10-2023,21,4,4,4,4,4,3,5,4
31-10-2023,19,2,2,2,2,2,2,7,4
01-11-2023,26,2,2,2,2,2,2,7,2
02-11-2023,19,2,2,2,2,2,3,7,4
03-11-2023,21,2,2,2,2,2,4,7,3
04-11-2023,23,2,2,2,2,2,2,7,3
05-11-2023,21,2,2,2,2,2,2,5,2
06-11-2023,22,3,3,3,3,3,2,7,3
07-11-2023,45,4,4,4,4,4,2,8,3
08-11-2023,23,3,3,3,3,3,2,7,4
09-11-2023,16,2,2,2,2,2,2,7,4
10-11-2023,21,2,2,2,2,2,3,7,2
11-11-2023,14,2,2,2,2,2,4,7,3
12-11-2023,20,1,1,1,1,1,3,7,3
13-11-2023,21,4,4,4,4,4,2,7,4
